Sum of EPEST_HIGH_KG,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
119,206094.9,41282.4,37.3,289427,262355,10793.4,8849.6,869.7,6621.4,245.8,26723.2,11861.5,605.1,485.1,44934.7,257.7,141.6,160.3,195.6,155422.3,2701.1,112.1,9968.6,42531,32562.4,1318.4,3.1,47.4,2905.7,,,0.1,12591.2,3.3,1171921.4,296.4,2777.5,2856.6,1187.5,1815.7,1299.5,0.1,1719.5,6000.2,966.7,54829.1,374086,319257.4,29878.5,35,60.7,1668.8,,608.6,15511.2,10694.7,137.9,20207.3,21105.9,74,15257.9,1508,73.2,18009.3,1324.7,525.7,1647.8,11776.8,4226.7,3265454.3
121,212574.3,34009.9,521,202283,319998,8663.5,7074.1,1142.2,2493.5,,2910.4,1763.6,785.2,580.3,22680.4,157.4,3.6,611.3,615.9,126515.7,1608.5,210.6,10183.1,64533.7,54350.7,3317.6,35.4,7,1551.4,,,,819,19.2,987216.9,751.9,556.2,1900.8,4281.2,2133.9,206.7,26,942.9,911.8,372.3,77191.6,327470,250278.4,17425.8,39.1,38.8,2198.3,,512.8,7405.5,7909.6,295.6,21697.5,13212.1,203.2,6051.8,795.9,10.9,5555.8,350.4,633.2,13285.7,12286.1,2852,2849020.2
123,239500.9,70608.4,181.1,191402.7,339733,8882.3,7383.1,953,1432.2,,4133.4,2907.1,1828.8,877.3,21090.7,91.1,11.6,343.9,,120574.6,7867,34.8,8331.2,59818.5,51487.2,5495.2,41.5,45.2,4046.6,,81.9,,11369,7,980512.1,1151.3,201.6,3010,2108.8,1942,963,59,1745.8,265.3,943.7,80379.8,360068.8,279688.5,17620.6,30.9,20.2,1551.6,,933.4,9598.8,6106.9,336.1,6353,12312.3,751.4,3130.3,663.4,15.8,2827.6,614.1,766.2,7364.1,3061.9,2570.6,2950229.2
125,171514,38691.7,121.9,171541.5,303295.8,7061.2,4320.3,1243.4,730.3,,6506.4,2559.4,493.2,432.7,19904,140.2,32.3,91.1,160.5,119800.2,2629.5,58.9,10048,63566.8,53518.8,4997.9,43.4,42.9,2046,,40.2,21.4,1382.5,2,936639.8,426.6,1603.3,3076,1569.3,1367.2,352.6,10.6,914.8,711.7,756.2,99216.1,298873.9,199657.9,19651,112.8,1.5,1645.4,,219.3,7200.8,4984.3,64.3,10995.6,9056.6,141.8,4490.2,920,31.2,3862.7,690.2,551.1,,10111.3,2668.1,2609612.6
127,108792,70054.7,510.6,354073.2,256806.4,7706,5647.3,1032.3,2724.4,57,1601.7,7909.7,718.3,646.9,18255.8,119.4,168.5,1220.3,195.3,80114.9,797.9,48.2,16384.4,44868.6,28484.2,2006.2,24.5,64.3,9706.2,,39.1,0.1,265,147.9,831647.7,180.8,1667.5,2400.6,2562,3757.3,588.9,1.5,1265.3,2047.2,806.6,52982.6,268865.8,215883.3,14096.1,96.5,74.6,3268.7,,101.1,7855,6080.3,433.8,25051.1,22216.7,46,4866.4,1194.3,0.4,8667.1,1036.7,936.5,,2181,3347.2,2507397.9
129,145647.7,43421.3,13.1,331833.4,293487,8702.6,11653.6,1696.3,6637.5,,4570.9,268.3,351.1,706.7,28450,3.3,0.5,17.4,,125195.3,1098.3,38.5,8192.6,58708.8,50516.2,2289.7,0.1,19.4,1977.8,,9.7,,504.3,2.8,932107.2,181.6,1463.3,2335.4,915,1979.2,217.5,0.2,868.6,218,258.8,51892.5,230222.4,178330,11765,14.6,1,2505.3,,875.9,9998.4,7001,25,14126.8,13844,135.1,4997.7,1056.2,3.7,10441.8,1601.5,632,,20842.1,5490.6,2632361.6
131,142443.1,153997.9,38.2,328922.7,323581.5,11673.9,4669.1,1842.6,48.8,,645.9,434.2,1918.8,1003.9,17813.7,88.6,63.7,20.9,124.6,133919.5,9721.2,139.4,11844,64220.6,52376.9,2543.9,43.9,11.4,7503.2,,34,,2705,6.7,929756.3,83.4,732.1,2542.6,5413.9,1576.8,626.5,26.7,1378.7,381.9,1249.2,50023.7,314628.8,264605,16112.6,14.6,,2435,,48.6,9579.2,9538.3,23.8,23159.8,17040.5,398.7,6219.8,1402.3,2.8,9995.6,982.2,753.2,,5268,2739.8,2953142.2
133,197433.5,77963.8,67.4,273422.7,235185.1,14435.4,3257.8,1449.3,110,,2358.5,1129.2,1962.4,1536.7,23961.6,42.4,4.6,128.4,,153808.6,1671.4,134.4,14071.4,61103.9,47032.6,1086,6.6,10.3,1038.2,,63.5,,970.6,11.4,899146.4,681.9,496.9,3124.7,1890.1,2126.7,875,28.1,916.1,303.1,896.4,83204.8,371436.4,288232.4,43640.1,50.9,11.9,2740.9,,45.4,14847.8,7056.5,18.5,26707.8,14672.7,169.3,4443.7,890.5,1.6,7710.5,859.8,838.5,1870.4,8136.3,3434.1,2906963.9
135,228356.9,38277.4,1.9,188588,455533.7,5649.1,4577.6,1195.2,237.1,,12031.7,1287,630.9,1023.3,19553.4,29.3,0.1,14.3,,179986.9,3080.4,1.7,10013.6,62021.5,52008,6071.4,3.6,3.4,1751.1,,,,14703,9.4,1095428.7,426.7,186.5,3949.3,1142.3,1767.8,485.2,26,909.4,20.5,820.3,147795.1,438027.2,290231.9,29707.8,7.3,,1615.3,,1386.7,7263.3,5354.8,7.6,21461.3,8232.1,62.2,6508,1094.8,0.9,4614.2,1054.3,462.3,695.6,15200.7,3083.7,3375670.7
137,139728.8,47786.2,116.7,249616,264171.4,7849.1,3892.4,847.9,542.5,,3425.5,1699,605.5,858.5,20169.3,21.2,117.4,48.9,,111275.9,86.5,227.8,8089.4,50065.7,41976.3,4701.1,528.1,14.4,1318.3,,,,2973.5,5,864871.1,188.4,840.3,3632.3,1361.7,1882.8,100.4,153.7,909.8,160.6,946.8,91571.8,243127.6,151555.9,23011.2,33.6,,2140.4,,273,6438.4,4528,84,17791.1,8718.5,39,4017.8,795.5,18.7,4897.1,626.1,500.5,184.8,12526.9,2883,2413569.1
139,186770.3,67110.9,579,267577.8,378589.9,9031.3,4548.7,1186.4,2581.4,,5318.1,931.5,516.1,732.4,28482,301.7,2.6,723.5,,108004.4,222.3,79.4,10526.2,42300.8,31774.6,3099.6,2.3,0,1794.3,,537.9,,784.9,3.4,1011552.8,70.7,209.8,1974.4,2817.1,2173,1290.2,32.1,1657.8,4938.5,1365.6,46354.2,283007.5,236653.7,15716.8,51.5,71.3,3175.5,,1487.7,9421.3,9055.2,16,21162.7,11328.9,197.3,5852.2,906.8,,6334.6,622.1,689.6,,2408.8,4138.1,2840847.5
141,178675.1,21287.7,19.7,269484.9,328513.2,8387.6,3641.3,1094.6,1010.5,,6039.4,656.3,630.7,666.9,14884.6,1389.8,10.9,23.4,,86364.5,804.9,93.2,12792.4,46105,33312.6,2540.3,1.6,4.8,2045.9,,33.9,,1528.8,3.4,857272.2,159.3,509,2366.3,1320.8,4519,834.2,608.8,1180.5,0.6,204.7,60785.7,296130.8,235345,12975.7,7,0.3,2323.3,,1151.7,8747.3,6555,274.8,17636.9,12883.5,109.1,4493.3,1792.7,,8873.8,946.3,817.4,,10268.4,4337,2577478.3
