County,FIPS,Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum,Adjuvant Sum
"Dickens County, Texas(7)",48125,455.2,2300.4999999999995,82295.4,110.3,0.0
"Bonner County, Idaho(7)",16017,455.1,67.6,1246.3000000000002,27.6,0.0
"Orleans County, Vermont(6)",50019,455.1,937.6,16844.599999999995,324.5,0.0
"Scotland County, North Carolina(6)",37165,455.0,2414.1999999999994,35759.700000000004,946.5,0.0
"Montmorency County, Michigan(6)",26119,455.0,167.4,3852.3,121.19999999999999,0.0
"Douglas County, Wisconsin(6)",55031,454.9,107.39999999999999,2719.6999999999994,13.100000000000001,0.0
"Butler County, Pennsylvania(6)",42019,454.9,1986.2,71026.79999999999,1080.6,0.0
"Mellette County, South Dakota(6)",46095,454.9,1497.3999999999999,32624.2,431.1,0.0
"Gadsden County, Florida(6)",12039,454.7,415.6,2150.0,259.5,0.0
"Panola County, Texas(7)",48365,454.7,50.4,6118.399999999999,84.7,0.0
"Durham County, North Carolina(6)",37063,454.6,156.5,1980.6,192.8,0.0
"Wood County, Wisconsin(6)",55141,454.6,899.5,64219.600000000006,491.29999999999995,0.0
"Boundary County, Idaho(7)",16021,454.4,743.0999999999999,11689.600000000002,1130.8,0.0
"Angelina County, Texas(7)",48005,454.3,0.2,978.5000000000001,3.8,0.0
"Park County, Wyoming(6)",56029,454.2,3079.7999999999997,55606.600000000006,604.8,0.0
"Lapeer County, Michigan(6)",26087,454.2,1802.1999999999996,105914.09999999999,1606.5,0.0
"Adams County, Pennsylvania(6)",42001,454.2,14103.0,72099.7,4530.8,0.0
"Lake County, Illinois(7)",17097,454.1,210.40000000000003,17655.2,283.5,0.0
"Tompkins County, New York(7)",36109,454.1,976.3,19798.300000000003,303.90000000000003,0.0
"Wake County, North Carolina(6)",37183,453.9,2239.0000000000005,37743.6,932.4,0.0
"Carroll County, Mississippi(6)",28015,453.9,10796.4,63336.5,794.3,0.0
"Simpson County, Mississippi(6)",28127,453.9,446.19999999999993,8771.000000000002,167.20000000000002,0.0
"Livingston County, Missouri(6)",29117,453.8,2254.6000000000004,171902.1,768.2,0.0
"Copiah County, Mississippi(6)",28029,453.6,919.7,7846.1,62.5,0.0
"Bastrop County, Texas(7)",48021,453.6,585.9000000000001,9689.300000000005,94.1,0.0
"Orange County, Vermont(6)",50017,453.5,315.2,5641.099999999999,111.6,0.0
"Bristol County, Rhode Island(6)",44001,453.5,4.0,91.3,0.2,0.0
"Stark County, Ohio(6)",39151,453.4,3484.8,56111.9,1128.3000000000002,0.0
"Catahoula Parish, Louisiana(7)",22025,453.2,55649.200000000004,236706.6,3349.2999999999997,0.0
"Essex County, Massachusetts(7)",25009,453.1,171.70000000000002,1532.3000000000002,69.1,0.0
"Anderson County, South Carolina(6)",45007,453.1,327.8,25940.000000000004,318.5,0.0
"Somerset County, New Jersey(7)",34035,453.0,218.6,3928.2999999999993,85.9,0.0
"Catawba County, North Carolina(6)",37035,453.0,1034.4,32810.6,850.4000000000001,0.0
"Wheeler County, Texas(7)",48483,453.0,1359.3999999999999,53163.80000000001,318.29999999999995,0.0
"Hardee County, Florida(6)",12049,453.0,19601.7,116184.4,3328.9,0.0
"Columbia County, Oregon(6)",41009,453.0,275.29999999999995,8096.799999999999,381.5,0.0
"Fisher County, Texas(7)",48151,453.0,4595.1,96408.6,841.5,0.0
"Middlesex County, New Jersey(7)",34023,452.9,355.8,8494.6,171.9,0.0
"Decatur County, Tennessee(6)",47039,452.9,221.10000000000002,20997.799999999992,709.9,0.0
"Beckham County, Oklahoma(6)",40009,452.8,3770.9,30486.30000000001,662.5,0.0
"Morgan County, West Virginia(6)",54065,452.8,154.20000000000002,1284.8999999999999,22.7,0.0
"Okfuskee County, Oklahoma(6)",40107,452.7,5141.5999999999985,37634.799999999996,542.9,0.0
"Worth County, Missouri(6)",29227,452.7,926.4000000000002,54413.29999999999,299.90000000000003,0.0
"Callaway County, Missouri(6)",29027,452.6,4096.299999999999,98048.80000000003,2137.2,0.0
"Cannon County, Tennessee(6)",47015,452.6,274.3,39489.0,579.3,0.0
"Essex County, New Jersey(7)",34013,452.5,223.50000000000003,214.5,49.0,0.0
