County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Troup County, Georgia(7)",13285,469.1,125.6,13.8,65.9,18.2,112.8,274.7,1613.5999999999997,260.6
"Grand Traverse County, Michigan(6)",26055,469.1,125.6,13.8,65.9,18.2,112.8,1667.6000000000004,6261.599999999999,1924.5
"Okanogan County, Washington(6)",53047,469.1,125.6,13.8,65.9,18.2,112.8,19670.199999999997,34855.100000000006,4569.1
"Andrew County, Missouri(6)",29003,469.0,125.6,13.8,65.9,18.2,112.8,3304.5,202558.09999999998,1098.6
"Ste. Genevieve County, Missouri(6)",29186,468.9,125.6,13.8,65.8,18.2,112.8,1178.7,31226.299999999996,527.5
"Pike County, Missouri(6)",29163,468.9,125.6,13.8,65.8,18.2,112.7,7837.199999999999,180421.40000000002,1341.3
"Pottawatomie County, Oklahoma(6)",40125,468.9,125.5,13.8,65.8,18.2,112.7,3257.2999999999997,35813.799999999996,315.90000000000003
"Shelby County, Iowa(7)",19165,468.7,125.5,13.8,65.8,18.2,112.6,7427.900000000001,417335.1,7752.800000000001
"Jefferson Parish, Louisiana(7)",22051,468.7,125.5,13.7,65.7,18.2,112.6,0.0,4749.6,0.0
"Perry County, Missouri(6)",29157,468.6,125.5,13.7,65.7,18.2,112.6,3456.3999999999996,112539.49999999999,2051.1
"Adams County, Nebraska(6)",31001,468.5,125.5,13.7,65.7,18.2,112.6,41383.5,419638.0,4941.1
"Carroll County, New Hampshire(6)",33003,468.5,125.4,13.7,65.7,18.2,112.5,108.7,453.1000000000001,21.7
"Crawford County, Pennsylvania(6)",42039,468.4,125.4,13.7,65.6,18.2,112.5,1773.1000000000001,89414.9,954.1
"Montague County, Texas(7)",48337,468.4,125.4,13.7,65.6,18.2,112.4,858.7,7874.999999999999,188.39999999999998
"Delaware County, New York(7)",36025,468.4,125.4,13.7,65.6,18.2,112.4,365.5,6214.5,136.4
"Beaver County, Utah(7)",49001,468.2,125.3,13.7,65.6,18.2,112.4,2746.1000000000004,11601.499999999998,0.0
"Buncombe County, North Carolina(6)",37021,468.2,125.3,13.7,65.6,18.2,112.3,85.39999999999999,4458.699999999998,78.19999999999999
"Jefferson County, Missouri(6)",29099,468.2,125.3,13.7,65.6,18.1,112.3,723.0999999999998,14666.5,217.5
