AREA_FIPS_CODE,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
38037,14815.6,,,588.1,770.7,79.9,414,34.9,37.7,,5192.2,275.9,,3.2,3098.9,,,,,2458.3,,,,727.8,727.8,,,,,,,,,,64105.7,6.2,,17.2,,,,,78.3,,,546.7,3479.7,2933.1,151.3,,,,,,3107.7,174.2,,,2257.8,,2300.3,8.3,,,26.5,1,,1759.9,103.4,110282.3
38039,18801.7,,,832.9,232.6,238.2,5464.8,25.4,384.6,,7429.6,204.5,,5.8,2067,0.1,0,,,11259.4,,,,1182.3,1182.3,,,,,,,,,,61803.4,74,,222.8,0,,,,123.5,,,6720.2,27818.1,21097.8,1413.5,,,,,,1306.4,329.5,,,3716.6,,3442.9,2.2,,,59.3,70.6,,215.3,35.9,177763.2
38041,29051.8,,,3642.9,10388.1,245.5,1360.5,,47.5,,21008.9,,,2.3,3202.7,,,,,12378.2,,,,11489.1,11489.1,,,,,,,,,,134099.2,,,19.4,,,,,204.4,,,694,8039,7345,141.5,,,14.8,,,3226.2,1945,,,3254.4,,2638.4,,,,46.3,0.7,,5.6,346.5,266327
38043,9699.6,,,11553,5610.4,498.9,2473.2,33.9,235.5,,6190.3,254.3,,14.8,4522.8,156.9,39.5,,,7641.8,,,,2306.6,2306.6,,,,,,,,,,57481.3,16.7,,355.1,75.8,,,,738.2,,,3501.7,6843.4,3341.7,1522.2,,,,,,2997.9,378.2,,,2621.3,,3025.5,42.9,,,71.6,104.8,,1066,38.4,137760.8
38045,17711.1,,,32320.6,28978.6,712.2,1796.1,72.5,579.3,,2762.7,88,,21.6,4384.2,,,,,21282.9,,,,15995,15995,,,,,,,,,,141184.9,26.4,,183,,,,,23.7,,,12081.7,66666.4,54584.6,4387.3,,,,,,1148.5,602.2,,,14511.2,,1650.2,159.6,,,241.4,159.3,,227.3,265.9,440803.4
38047,10807.6,,,9780.5,8676.3,309.2,1013,43.7,304.7,,3451.2,130.1,,11.1,3391.4,,,,,11234.3,,,,5241.2,5241.2,,,,,,,,,,62655.5,18.1,,95.1,,,,,28.5,,,5487.6,33275.3,27787.7,2189.9,,,,,,1339.8,312.5,,,7592.2,,1841.4,47.3,,,116.6,72.9,,890,90.2,203476.1
38049,8599,,,7888.1,5171.1,468.4,7721.1,52.1,1628.5,,19789.2,350.9,,22.8,5126.7,29.7,7.5,,,20968.2,,,,2775.1,2775.1,,,,,,,,,,280952.9,1.6,,273.2,14.4,,,,117.2,,,5580.1,12073.8,6493.7,2331.2,,,,,,1127,1316.2,,,5290.5,,5579.3,65.7,,,95.5,29.3,,19.3,260.6,404995
38051,8430.2,,,10772.2,9604.4,266.2,690.1,44.4,229.2,,4902.3,188.3,,8.6,3121.3,,,,,8874.7,,,,5370.1,5370.1,,,,,,,,,,55847,9.2,,72.8,,,,,42,,,4584.1,26945.4,22361.4,1701.7,,,,,,1861.5,276.9,,,6091.2,,2425.7,52.9,,,93.7,56.2,,605.7,104,181003.5
38053,9823.2,,,1731.7,1204.9,428.5,6395,1.3,1034.4,,4417.2,296.1,,1.3,2517.3,,,,,4964.9,,,,813.6,813.6,,,,,,,,,,75656.4,92.4,,15.5,,,,,75,,,235.6,21503.9,21268.1,153.5,,,30.4,,,4247.3,495.9,,,1567.2,,1563.2,,,715.9,178.5,0.4,,36.3,266.5,162545
38055,20266.7,,,38165.4,14751.7,935.8,17422.6,29.5,2702.5,,12806.6,837.3,,36.8,4855.2,,,,,39727.1,,,,4171.9,4171.9,,,,,,,,,,365830.1,215.2,,286.2,,,,,227.4,,,6260.2,45625.6,39365.5,1909,,,23.2,,,12133.7,1241,,,5164.1,,4625.1,,,,182.3,29.3,,10.7,901.9,644911.5
